2017096462 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017230843 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017274480 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017284782 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017290682 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017335696 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017335877 = Verdict: Unsolved ; Iters: 11523088 ; Length: -1
2017393331 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2017575040 = Verdict: Unsolved ; Iters: 15208648 ; Length: -1
2017616183 = Verdict: Unsolved ; Iters: 11607333 ; Length: -1
2017901169 = Verdict: Unsolved ; Iters: 14405010 ; Length: -1
2018056184 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018269295 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018324141 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018343771 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018360179 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018579316 = Verdict: Unsolved ; Iters: 11601960 ; Length: -1
2018594359 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018602325 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018609449 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018721436 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018849865 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018875582 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2018931632 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019140642 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019269655 = Verdict: Unsolved ; Iters: 10567986 ; Length: -1
2019351447 = Verdict: Unsolved ; Iters: 13069834 ; Length: -1
2019450984 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019485560 = Verdict: Unsolved ; Iters: 10015858 ; Length: -1
2019503687 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019598931 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019621366 = Verdict: Unsolved ; Iters: 19817041 ; Length: -1
2019796031 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2019932448 = Verdict: Unsolved ; Iters: 10249475 ; Length: -1
2019932951 = Verdict: Unsolved ; Iters: 12817163 ; Length: -1
2019937558 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020168506 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020182672 = Verdict: Unsolved ; Iters: 14484866 ; Length: -1
2020185064 = Verdict: Unsolved ; Iters: 10307895 ; Length: -1
2020267132 = Verdict: Unsolved ; Iters: 12318147 ; Length: -1
2020311687 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020367528 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020371762 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020489853 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020525744 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020631672 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2020929764 = Verdict: Unsolved ; Iters: 10228098 ; Length: -1
2020950093 = Verdict: Unsolved ; Iters: 19646947 ; Length: -1
2021084123 = Verdict: Unsolved ; Iters: 10018264 ; Length: -1
2021172103 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021247736 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021333387 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021746165 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021780046 = Verdict: Unsolved ; Iters: 10567444 ; Length: -1
2021799758 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021814028 = Verdict: Unsolved ; Iters: 15026747 ; Length: -1
2021907964 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2021980044 = Verdict: Unsolved ; Iters: 10358533 ; Length: -1
2022026280 = Verdict: Unsolved ; Iters: 13443185 ; Length: -1
2022102263 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022118947 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022149258 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022248821 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022358323 = Verdict: Unsolved ; Iters: 16152038 ; Length: -1
2022449277 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022524295 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022648510 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022925360 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022962780 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2022964581 = Verdict: Unsolved ; Iters: 10001206 ; Length: -1
2023401391 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2023618817 = Verdict: Unsolved ; Iters: 16816656 ; Length: -1
2023708313 = Verdict: Unsolved ; Iters: 17491663 ; Length: -1
2023713529 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2023837204 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2023967089 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024112227 = Verdict: Unsolved ; Iters: 11080269 ; Length: -1
2024184568 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024184676 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024312632 = Verdict: Unsolved ; Iters: 13249912 ; Length: -1
2024360210 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024487253 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024538761 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024548576 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024631025 = Verdict: Unsolved ; Iters: 14320358 ; Length: -1
2024646112 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024772929 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024890030 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2024927414 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025056808 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025385941 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025536897 = Verdict: Unsolved ; Iters: 12382562 ; Length: -1
2025584199 = Verdict: Unsolved ; Iters: 15985329 ; Length: -1
2025589068 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025625621 = Verdict: Unsolved ; Iters: 14167272 ; Length: -1
2025646913 = Verdict: Unsolved ; Iters: 14281904 ; Length: -1
2025690716 = Verdict: Unsolved ; Iters: 16247082 ; Length: -1
2025760679 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025859756 = Verdict: Unsolved ; Iters: 16656053 ; Length: -1
2025877520 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2025889483 = Verdict: Unsolved ; Iters: 15996594 ; Length: -1
2025994341 = Verdict: Unsolved ; Iters: 18034263 ; Length: -1
2026224950 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026267074 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026412130 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026428063 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026480788 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026590964 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026674026 = Verdict: Unsolved ; Iters: 16535875 ; Length: -1
2026771135 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
